ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13442840,JH241599,04/27/2024 11:52:00 PM,003XX E ILLINOIS ST,0460,BATTERY,SIMPLE,BOWLING ALLEY,False,False,1834,18,2.0,8.0,08B,1178708.0,1903688.0,2024,12/21/2024 03:40:46 PM,41.891023035,-87.619141016,"(41.891023035, -87.619141016)"
13594942,JH425308,09/11/2024 11:30:00 PM,038XX N PINE GROVE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1925,19,46.0,6.0,06,1170702.0,1925877.0,2024,05/17/2025 03:40:52 PM,41.95208984,-87.647891491,"(41.95208984, -87.647891491)"
12382898,JE251498,06/02/2021 05:14:00 PM,015XX S KEDZIE AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,True,False,1022,10,24.0,29.0,08B,1155274.0,1892446.0,2021,06/09/2021 03:41:16 PM,41.860676824,-87.705504512,"(41.860676824, -87.705504512)"
12454223,JE339146,08/16/2021 12:00:00 AM,011XX N HAMLIN AVE,0291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,APARTMENT,False,True,1112,11,27.0,23.0,02,1150839.0,1907322.0,2021,08/23/2021 03:41:28 PM,41.901586025,-87.721395117,"(41.901586025, -87.721395117)"
12731921,JF282147,06/02/2022 11:05:00 AM,012XX N ORLEANS ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1821,18,27.0,8.0,06,1173665.0,1908580.0,2022,01/03/2023 03:40:27 PM,41.904560639,-87.637515564,"(41.904560639, -87.637515564)"
13374805,JH159593,02/20/2024 06:27:00 PM,0000X E OAK ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1833,18,42.0,8.0,15,1176636.0,1907224.0,2024,12/21/2024 03:40:46 PM,41.900773065,-87.626643395,"(41.900773065, -87.626643395)"
12401716,JE274855,06/21/2021 08:57:00 PM,053XX W RACE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1523,15,37.0,25.0,15,1140697.0,1903038.0,2021,06/28/2021 03:40:57 PM,41.890022694,-87.758753657,"(41.890022694, -87.758753657)"
13117867,JG313819,06/24/2023 09:20:00 AM,003XX N HAMLIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,1122,11,37.0,26.0,14,1151008.0,1901569.0,2023,08/19/2023 03:40:26 PM,41.885795895,-87.720925185,"(41.885795895, -87.720925185)"
12778049,JF337812,07/30/2022 05:48:00 PM,108XX S STATE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,513,5,9.0,49.0,15,1178172.0,1833195.0,2022,01/03/2023 03:40:27 PM,41.697595762,-87.623247842,"(41.697595762, -87.623247842)"
12356957,JE219335,05/04/2021 12:46:00 PM,091XX S COTTAGE GROVE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,633,6,8.0,44.0,15,1183158.0,1844656.0,2021,05/11/2021 03:40:53 PM,41.728931909,-87.604636832,"(41.728931909, -87.604636832)"
